TAG_CODE,CAPTURE_CODE,MARCH_FLAG,APR_FLAG,MAY_FLAG,JUNE_FLAG,JULY_FLAG,AUGUST_FLAG,SEP_FLAG,SOCKEYE_FLAG,HATCHERY_REARED,SS_FLAG,LENGTH_MM
3DD.003D425471,0,0,0,0,0,0,0,1,1,1,1,87
3DD.003D280969,0,0,0,0,0,1,0,0,0,0,1,16
3DD.003D352E52,0,0,0,0,0,0,0,0,0,0,1,95
3DD.003C099D94,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D5C6AED,0,0,0,1,0,0,0,0,1,0,1,110
3DD.003D424006,0,0,0,0,0,0,0,1,1,1,1,85
3DD.003BE9EBC6,0,0,0,1,0,0,0,0,0,0,0,110
3DD.003C09A8E0,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003D42493E,0,0,0,0,0,0,0,1,1,1,1,97
3DD.003D281FDD,0,0,1,0,0,0,0,0,1,0,1,162
3DD.003C09A8C9,0,0,0,0,0,0,0,1,1,1,1,88
3DD.003C09A65A,0,0,0,0,0,0,0,1,1,1,1,89
3DD.003D281BE9,0,0,1,0,0,0,0,0,1,0,1,136
3DD.003C0995F8,0,0,0,0,1,0,0,0,1,0,1,165
3DD.003D5C6B4A,0,0,0,0,1,0,0,0,1,0,1,125
3DD.003D28122B,0,1,0,0,0,0,0,0,0,0,0,128
3DD.003BEA1318,0,0,0,1,0,0,0,0,0,0,0,143
3DD.003D423EC5,0,0,0,0,0,0,0,1,1,1,1,88
3DD.003C09906A,0,0,0,1,0,0,0,0,1,0,1,135
3DD.003BEA14D5,0,0,1,0,0,0,0,0,0,0,0,129
3DD.003D424D98,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D424AFE,0,0,0,0,0,0,0,1,1,1,1,104
3DD.003D47DFE5,0,0,0,0,0,0,0,0,0,0,1,91
3DD.003D425592,0,0,0,0,0,0,0,1,1,1,1,104
3DD.003D42482C,0,0,0,0,0,0,0,1,1,1,1,81
3DD.003C0994DE,0,0,0,0,0,0,0,1,1,1,1,97
3DD.003D4242A2,0,0,0,0,0,0,0,1,1,1,1,100
3DD.003D47DFE6,0,0,0,0,0,0,0,0,0,0,1,86
3DD.003C099995,0,0,0,0,0,0,0,1,1,1,1,96
3DD.003D4807CD,0,0,1,0,0,0,0,0,1,0,1,101
384.3B23A95CDD,0,0,0,0,1,0,0,0,0,0,0,121
3DD.003D423EF5,0,0,0,0,0,0,0,1,1,1,1,86
3DD.003D281BD3,0,0,1,0,0,0,0,0,1,0,1,144
3DD.003D28153B,0,0,0,1,0,0,0,0,0,0,0,121
3DD.003D424E73,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D42560F,0,0,0,0,0,0,0,1,1,1,1,89
3DD.003D2819F7,0,0,1,0,0,0,0,0,1,0,1,131
384.3B239AA027,0,0,0,1,0,0,0,0,0,0,0,133
384.3B23A280B3,0,0,0,0,1,0,0,0,0,0,0,130
3DD.003D425217,0,0,0,0,0,0,0,1,1,1,1,85
3DD.003D424286,0,0,0,0,0,0,0,1,1,1,1,91
3DD.003D423F8D,0,0,0,0,0,0,0,1,1,1,1,94
3DD.003D4244F5,0,0,0,0,0,0,0,1,1,1,1,96
384.3B23B06750,0,0,0,1,0,0,0,0,0,0,0,117
3DD.003D423DA8,0,0,0,0,0,0,0,1,1,1,1,92
3DD.003D424CCE,0,0,0,0,0,0,0,1,1,1,1,114
3DD.003D424615,0,0,0,0,0,0,0,1,1,1,1,103
384.3B23B05AB4,0,0,0,1,0,0,0,0,0,0,0,113
3DD.003D424EED,0,0,0,0,0,0,0,1,1,1,1,116
3DD.003D42541E,0,0,0,0,0,0,0,1,1,1,1,88
3DD.003D2808E7,0,0,0,1,0,0,0,0,0,0,1,145
3DD.003D281DE3,0,0,0,1,0,0,0,0,1,0,1,138
3DD.003D425517,0,0,0,0,0,0,0,1,1,1,1,96
3DD.003C0998FE,0,0,0,0,0,0,0,1,1,1,1,79
384.3B23AF90A2,0,0,0,0,1,0,0,0,0,0,0,122
3DD.003C099E90,0,0,0,0,0,0,0,1,1,1,1,90
3DD.003BEA15BF,0,0,1,0,0,0,0,0,0,0,0,135
3DD.003BF19526,0,0,0,1,0,0,0,0,0,0,0,125
3DD.003C099B60,0,0,0,0,0,0,0,1,1,1,1,100
3DD.003D425405,0,0,0,0,0,0,0,1,1,1,1,105
3DD.003D424C6F,0,0,0,0,0,0,0,1,1,1,1,82
3DD.003D4244EE,0,0,0,0,0,0,0,1,1,1,1,97
3DD.003D425211,0,0,0,0,0,0,0,1,1,1,1,99
3DD.003D423F44,0,0,0,0,0,0,0,1,1,1,1,106
3DD.003C099F23,0,0,0,0,0,0,0,1,1,1,1,86
3DD.003C09A709,0,0,0,0,0,0,0,1,1,1,1,97
